"symbol","date","price"
"PCECC96",1999-01-01,8548.235
"PCECC96",1999-04-01,8679.143
"PCECC96",1999-07-01,8776.715
"PCECC96",1999-10-01,8905.093
"PCECC96",2000-01-01,9039.743
"PCECC96",2000-04-01,9124.152
"PCECC96",2000-07-01,9211.569
"PCECC96",2000-10-01,9292.05
"PCECC96",2001-01-01,9325.751
"PCECC96",2001-04-01,9344.486
"PCECC96",2001-07-01,9377.003
"PCECC96",2001-10-01,9528.302
"PCECC96",2002-01-01,9549.516
"PCECC96",2002-04-01,9597.82
"PCECC96",2002-07-01,9664.988
"PCECC96",2002-10-01,9718.745
"PCECC96",2003-01-01,9766.616
"PCECC96",2003-04-01,9878.442
"PCECC96",2003-07-01,10018.122
"PCECC96",2003-10-01,10087.092
"PCECC96",2004-01-01,10181.141
"PCECC96",2004-04-01,10236.694
"PCECC96",2004-07-01,10356.936
"PCECC96",2004-10-01,10474.084
"PCECC96",2005-01-01,10540.638
"PCECC96",2005-04-01,10657.449
"PCECC96",2005-07-01,10745.873
"PCECC96",2005-10-01,10765.68
"PCECC96",2006-01-01,10883.075
"PCECC96",2006-04-01,10939.498
"PCECC96",2006-07-01,11009.748
"PCECC96",2006-10-01,11114.771
"PCECC96",2007-01-01,11183.323
"PCECC96",2007-04-01,11212.669
"PCECC96",2007-07-01,11287.468
"PCECC96",2007-10-01,11331.949
"PCECC96",2008-01-01,11316.411
"PCECC96",2008-04-01,11347.595
"PCECC96",2008-07-01,11260.136
"PCECC96",2008-10-01,11158.801
"PCECC96",2009-01-01,11130.464
"PCECC96",2009-04-01,11075.748
"PCECC96",2009-07-01,11150.23
"PCECC96",2009-10-01,11137.946
"PCECC96",2010-01-01,11202.495
"PCECC96",2010-04-01,11302.955
"PCECC96",2010-07-01,11383.596
"PCECC96",2010-10-01,11453.368
"PCECC96",2011-01-01,11497.12
"PCECC96",2011-04-01,11508.95
"PCECC96",2011-07-01,11543.975
"PCECC96",2011-10-01,11563.89
"PCECC96",2012-01-01,11647.297
"PCECC96",2012-04-01,11667.753
"PCECC96",2012-07-01,11691.414
"PCECC96",2012-10-01,11738.007
"PCECC96",2013-01-01,11814.326
"PCECC96",2013-04-01,11848.089
"PCECC96",2013-07-01,11896.258
"PCECC96",2013-10-01,12001.027
"PCECC96",2014-01-01,12044.203
"PCECC96",2014-04-01,12159.899
"PCECC96",2014-07-01,12280.086
"PCECC96",2014-10-01,12421.595
"PCECC96",2015-01-01,12516.902
"PCECC96",2015-04-01,12603.053
"PCECC96",2015-07-01,12691.79
"PCECC96",2015-10-01,12743.411
"PCECC96",2016-01-01,12839.618
"PCECC96",2016-04-01,12903.306
"PCECC96",2016-07-01,12993.064
"PCECC96",2016-10-01,13060.061
"PCECC96",2017-01-01,13160.475
