"date","w2","w3","w4","w5","w6","w7","w8","w9"
1962-06-29,0.0044241138694856,0.00326424763650815,0.00263287367055875,0.00221664084696748,0.00190368203943073,0.00165204714563787,0.00144285697833637,0.00126576767063287
1962-09-28,0.00149302277532275,0.0011638912663865,0.000996263234444787,0.000873236615816696,0.000766189686399639,0.000669502040030273,0.000582625103109274,0.000505567208051602
1962-12-31,-0.0000515051705039585,-0.000809604224824512,-0.000932254081695026,-0.000898221821347744,-0.000835057793754812,-0.000772541374118786,-0.000715579605359132,-0.00066363251148284
1963-03-29,-0.000514534068454392,-0.00138162102869304,-0.00144549624467769,-0.00133104735963866,-0.00119917482686644,-0.00108273253396425,-0.000983626461507896,-0.00089807322255827
1963-06-28,-0.00104572787286442,-0.00142927648633387,-0.00135991106275805,-0.00121420442368926,-0.0010802862338254,-0.000970187528583286,-0.000879667078954031,-0.000803021166312534
1963-09-30,-0.00178111718053403,-0.0022307561960258,-0.00207268596389135,-0.00182544314260365,-0.00160526398186073,-0.00142568840757139,-0.00127899193343738,-0.00115603091748449
1963-12-31,0.000662223208179907,-0.000321764761472755,-0.000475188887530058,-0.000450313868683098,-0.000402412311810443,-0.000362866089300598,-0.000333609381772251,-0.000311303624230756
1964-03-31,0.00146155753808717,0.000610401961444344,0.000425202078369526,0.000382183993760866,0.000356646424096968,0.000325650990145178,0.000289511817678847,0.000251982452529213
1964-06-30,0.0000490229532476155,-0.000539063265212948,-0.000592926111301892,-0.000539473063186566,-0.000480788448010042,-0.000434616498314999,-0.000399612752737574,-0.000371804461943938
1964-09-30,-0.000891338688088897,-0.00143449589487777,-0.00140043305457,-0.00125709389866564,-0.00111854199661608,-0.00100324633887766,-0.000908275491703324,-0.000827996918806043
1964-12-31,0.000329426213973416,-0.000181097355736799,-0.00023723362571778,-0.000206272983919432,-0.000174750790836758,-0.000155762325048818,-0.000146503706748416,-0.0001425548607394
1965-03-31,0.000554548162593871,-0.0000800120490374451,-0.000197028601909892,-0.000195685184738961,-0.000179343914246705,-0.000168132112069876,-0.000162581338754221,-0.000160038872169914
1965-06-30,-0.00106347369046445,-0.00102582215147726,-0.000907181379801038,-0.000799908290655127,-0.000716313472864494,-0.00065149279278403,-0.000599077407063817,-0.000554395692155103
1965-09-30,-0.005973598935574,-0.00563671675907255,-0.00503056449033536,-0.0044558962495416,-0.0039640036340693,-0.00354736025809403,-0.00318995332959267,-0.00287834321129196
1965-12-31,0.000383107846962848,-0.000254648906250446,-0.000340137174848466,-0.000312938933280014,-0.000277151648275471,-0.000251294915737069,-0.00023444791364851,-0.000222926184384804
1966-03-31,-0.00304967274971057,-0.00295772843919432,-0.00262934305529976,-0.0023122774529887,-0.00204760289011356,-0.00183012677161384,-0.00164811120733877,-0.00149190900821754
1966-06-30,-0.00361052570324343,-0.00348606197468677,-0.00315741609133131,-0.00282753785759512,-0.00253820069839388,-0.00228903942063527,-0.00207227368648692,-0.00188083872309036
1966-09-30,0.00264031784029409,0.00213306617048503,0.0019407573533379,0.00180070823829767,0.00165806895183567,0.00151038306590174,0.00136414213580439,0.00122485656341336
1966-12-30,0.00422428233893848,0.00298146201668797,0.00247665638199639,0.0021803994643855,0.00194722207875807,0.00174134855625978,0.00155497374346898,0.00138649337474435
